RK,TEAM,TOTAL_DVOA,LAST_YEAR,WEI_DVOA,RANK,W-L,OFFENSE_DVOA,OFF_RANK,DEFENSE_DVOA,DEF_RANK,ST_DVOA,ST_RANK,YEAR
2,2,1,1,1,1,0,1,1,1,1,1,1,1
1,KC,0.33,10,0.31,1,12-4,0.34,1,0.07,26,0.06,2,2018
2,LAR,0.24,2,0.20,6,13-3,0.25,2,0.01,17,0.00,17,2018
3,LAC,0.23,11,0.24,3,12-4,0.21,3,-0.05,8,-0.03,25,2018
4,NO,0.21,1,0.26,2,13-3,0.16,4,-0.03,11,0.02,9,2018
5,CHI,0.19,25,0.21,5,12-4,-0.03,20,-0.26,1,-0.03,26,2018
6,BAL,0.17,7,0.19,7,10-6,0.01,15,-0.13,3,0.03,6,2018
7,NE,0.14,6,0.18,8,11-5,0.15,5,0.00,16,0.00,16,2018
8,IND,0.13,31,0.22,4,10-6,0.08,10,-0.03,10,0.01,12,2018
9,PIT,0.11,3,0.13,10,9-6-1,0.14,6,-0.01,13,-0.04,27,2018
10,MIN,0.08,4,0.16,9,8-7-1,-0.01,18,-0.10,4,-0.01,19,2018
11,HOU,0.07,28,0.08,13,11-5,-0.04,21,-0.07,7,0.04,5,2018
12,SEA,0.07,14,0.06,14,10-6,0.09,9,0.00,14,-0.02,24,2018
13,DEN,0.07,29,0.09,11,6-10,0.01,14,-0.10,5,-0.04,31,2018
14,CAR,0.01,9,-0.03,20,7-9,0.06,11,0.05,22,0.00,18,2018
15,NYG,0.00,30,0.05,15,5-11,0.01,13,0.06,24,0.05,3,2018
16,PHI,0.00,5,0.04,16,9-7,0.00,16,0.00,15,0.00,15,2018
17,CLE,-0.03,32,0.09,12,7-8-1,-0.01,17,-0.03,12,-0.04,30,2018
18,ATL,-0.03,15,0.02,17,7-9,0.09,8,0.13,31,0.01,10,2018
19,GB,-0.03,17,-0.06,21,6-9-1,0.11,7,0.10,29,-0.04,29,2018
20,TEN,-0.05,18,0.00,18,9-7,-0.05,22,0.01,19,0.01,13,2018
21,DAL,-0.05,13,-0.03,19,10-6,-0.07,24,-0.04,9,-0.02,23,2018
22,JAX,-0.08,8,-0.15,25,5-11,-0.22,30,-0.09,6,0.04,4,2018
23,CIN,-0.10,24,-0.18,27,6-10,-0.03,19,0.09,27,0.03,7,2018
24,TB,-0.13,23,-0.11,24,5-11,0.06,12,0.15,32,-0.04,28,2018
25,NYJ,-0.15,26,-0.17,26,4-12,-0.20,29,0.03,21,0.08,1,2018
26,DET,-0.15,12,-0.06,22,6-10,-0.05,23,0.09,28,-0.01,20,2018
27,MIA,-0.17,27,-0.30,31,7-9,-0.09,26,0.07,25,-0.01,21,2018
28,BUF,-0.18,21,-0.07,23,6-10,-0.28,31,-0.15,2,-0.05,32,2018
29,WAS,-0.19,16,-0.25,30,7-9,-0.20,28,0.02,20,0.03,8,2018
30,SF,-0.21,20,-0.20,29,4-12,-0.15,27,0.06,23,0.00,14,2018
31,OAK,-0.21,19,-0.20,28,4-12,-0.07,25,0.12,30,-0.02,22,2018
32,ARI,-0.41,22,-0.45,32,3-13,-0.41,32,0.01,18,0.01,11,2018
