team,rec,home_rec,away_rec,offense,defense,
TB,6,5,5,5,6,5,4,
TEN,5,5,5,5,5,6,4,
WAS,6,5,5,7,5,5,5,
DET,5,5,4,4,4,7,4,
HOU,1,5,3,3,3,8,2,
DAL,4,8,2,6,7,8,5,
NYJ,4,3,6,4,4,2,2,
NYG,3,7,2,4,5,8,3,
CHI,4,2,6,5,1,3,2,
LA,3,2,6,1,4,1,1,
IND,7,5,5,5,5,5,5,
CLE,7,1,8,3,1,1,2,
PHI,4,4,3,4,2,7,4,
MIA,7,6,5,4,5,7,4,
JAX,2,2,6,4,2,2,3,
CIN,4,4,3,5,3,5,3,
BAL,2,5,3,5,3,7,4,
BUF,5,4,5,5,4,5,5,
SEA,2,6,2,5,4,8,4,
NO,6,4,8,8,4,5,7,
MIN,2,5,2,3,4,6,3,
PIT,4,7,3,6,6,7,5,
OAK,6,7,5,6,7,7,5,
SD,4,3,7,5,3,3,5,
KC,6,7,3,4,7,7,5,
ATL,6,7,6,8,7,6,8,
SF,8,1,8,3,2,1,3,
DEN,2,5,2,3,5,6,3,
ARI,1,4,4,6,4,5,5,
NE,2,8,1,7,8,7,6,
CAR,5,4,6,4,3,5,4,
GB,5,6,5,6,5,7,6,
